"Story","Title","Result","Date","Stability","Duration (s)"
"Manage Orders in the page of demo serenity.","Create an order from the Dashboard","SUCCESS","2023-02-11T11:45:58.714-05:00[America/Bogota]","0.0","17.85"
"Manage Orders in the page of demo serenity.","Create and ship an order from the Dashboard","SUCCESS","2023-02-11T11:46:16.87-05:00[America/Bogota]","0.0","17.4"
